repo,category
https://github.com/divital-coder/MedImages.jl,Medical Imaging & Scientific Computing
https://github.com/divital-coder/SupervoxelSegmentation,Medical Imaging & Scientific Computing
https://github.com/divital-coder/MedResearch,Medical Imaging & Scientific Computing
https://github.com/divital-coder/Leaf-Effects,Machine Learning & Computer Vision
https://github.com/divital-coder/EY-Water-Quality-Prediction,Machine Learning & Computer Vision
https://github.com/divital-coder/cryoet-tomogram-search-agent,Machine Learning & Computer Vision
https://github.com/divital-coder/PosterGuild,Tools & Applications
https://github.com/divital-coder/aibase-scraper,Tools & Applications
https://github.com/divital-coder/Julez-Dash,Tools & Applications
https://github.com/divital-coder/Supermemory-Bookmarks-chat,Tools & Applications
https://github.com/divital-coder/video-collage-cli,Tools & Applications
